fn,label,pos,cluster
11520.wav,,1,-1
11521.wav,,1,59
11523.wav,,1,-1
11524.wav,,1,43
11525.wav,,1,-1
11527.wav,,1,-1
11528.wav,,1,-1
11529.wav,,1,-1
11530.wav,,1,-1
11531.wav,,1,52
11532.wav,,1,-1
11533.wav,,1,-1
11534.wav,,1,-1
11535.wav,,1,51
11537.wav,,1,-1
11538.wav,,1,-1
11539.wav,,1,51
11541.wav,,1,-1
11545.wav,,1,-1
11546.wav,,1,59
11547.wav,,1,59
11549.wav,,1,59
11550.wav,,1,-1
11556.wav,,1,-1
11557.wav,,1,-1
11558.wav,,1,48
11560.wav,,1,-1
11561.wav,,1,59
11562.wav,,1,-1
11563.wav,,1,-1
11564.wav,,1,-1
11565.wav,,1,50
11568.wav,,1,-1
11569.wav,,1,-1
11574.wav,,1,-1
11575.wav,,1,-1
11576.wav,,1,-1
11577.wav,,1,48
11582.wav,,1,-1
11583.wav,,1,-1
11584.wav,,1,-1
11585.wav,,1,-1
11586.wav,,1,-1
11587.wav,,1,-1
11588.wav,,1,-1
11589.wav,,1,-1
11590.wav,,1,34
11591.wav,,1,44
11592.wav,,1,-1
11594.wav,,1,-1
11596.wav,,1,-1
11598.wav,,1,-1
11599.wav,,1,31
11600.wav,,1,-1
11601.wav,,1,-1
11602.wav,N4,1,18
11603.wav,,1,-1
11604.wav,N4,1,18
11606.wav,,1,24
11607.wav,,1,24
11608.wav,,1,24
11611.wav,,1,31
11613.wav,,1,-1
11614.wav,,1,60
11615.wav,,1,59
11616.wav,,1,-1
11617.wav,,1,-1
11618.wav,,1,60
11619.wav,,1,-1
11621.wav,,1,-1
11622.wav,,1,60
11624.wav,,1,-1
11625.wav,,1,60
11626.wav,,1,43
11627.wav,,1,58
11628.wav,,1,-1
11633.wav,,1,-1
11634.wav,,1,-1
11635.wav,,1,-1
11636.wav,,1,60
11637.wav,,1,59
11638.wav,,1,59
11641.wav,,1,40
11645.wav,,1,-1
11649.wav,,1,51
11650.wav,,1,-1
11651.wav,,1,-1
11652.wav,,1,48
11654.wav,,1,-1
11655.wav,,1,47
11657.wav,N1,1,-1
11658.wav,,1,-1
11659.wav,,1,-1
11661.wav,,1,48
11664.wav,,1,47
11669.wav,,1,-1
11670.wav,,1,-1
11671.wav,,1,-1
11672.wav,,1,-1
11673.wav,,1,54
11677.wav,,1,-1
11679.wav,,1,-1
11683.wav,,1,56
11684.wav,,1,-1
11687.wav,,1,56
11688.wav,,1,-1
11690.wav,,1,56
11691.wav,,1,56
11692.wav,,1,-1
11693.wav,,1,-1
11694.wav,,1,-1
11695.wav,,1,-1
11699.wav,,1,48
11700.wav,,1,48
11703.wav,N1,1,60
11707.wav,,1,-1
11710.wav,,1,-1
11711.wav,,1,-1
11713.wav,,1,60
11714.wav,,1,-1
11717.wav,,1,-1
11718.wav,,1,-1
11719.wav,,1,-1
11723.wav,,1,-1
11726.wav,,1,-1
11728.wav,,1,48
11729.wav,,1,-1
11730.wav,,1,53
11731.wav,,1,48
11732.wav,,1,-1
11734.wav,,1,51
11735.wav,,1,59
11736.wav,,1,-1
11737.wav,,1,53
11741.wav,,1,-1
11742.wav,,1,-1
11744.wav,,1,59
11746.wav,,1,-1
11748.wav,,1,-1
11753.wav,,1,48
11754.wav,,1,50
11755.wav,,1,48
11756.wav,,1,-1
11757.wav,,1,48
11758.wav,,1,-1
11762.wav,,1,-1
11764.wav,,1,58
11766.wav,,1,-1
11769.wav,,1,58
11770.wav,,1,-1
11771.wav,,1,58
11774.wav,,1,-1
11775.wav,,1,59
11777.wav,,1,47
11778.wav,,1,-1
11779.wav,,1,-1
11780.wav,,1,48
11781.wav,,1,40
11782.wav,,1,-1
11783.wav,,1,-1
11784.wav,,1,-1
11786.wav,,1,47
11787.wav,,1,-1
11788.wav,N23,1,-1
11789.wav,,1,-1
11791.wav,,1,-1
11792.wav,,1,-1
11793.wav,,1,-1
11794.wav,,1,-1
11799.wav,,1,43
11801.wav,,1,-1
11802.wav,,1,60
11803.wav,,1,59
11804.wav,,1,-1
11805.wav,N1,1,-1
11806.wav,N1,1,-1
11807.wav,,1,-1
11808.wav,,1,59
11809.wav,,1,-1
11813.wav,,1,59
11814.wav,,1,-1
11815.wav,,1,-1
11816.wav,,1,58
11817.wav,,1,59
11820.wav,,1,-1
11821.wav,,1,48
11822.wav,,1,59
11823.wav,,1,59
11824.wav,,1,59
11827.wav,,1,-1
11828.wav,,1,40
11829.wav,,1,59
11831.wav,,1,48
11833.wav,,1,-1
11834.wav,,1,-1
11836.wav,,1,-1
11837.wav,,1,59
11838.wav,,1,-1
11840.wav,N1,1,-1
11842.wav,,1,-1
11843.wav,,1,-1
11844.wav,,1,-1
11846.wav,,1,52
11847.wav,,1,52
11848.wav,,1,52
11849.wav,,1,-1
11850.wav,,1,48
11851.wav,,1,-1
11852.wav,,1,-1
11854.wav,,1,48
11855.wav,,1,52
11856.wav,,1,-1
11857.wav,,1,-1
11859.wav,,1,-1
11860.wav,,1,50
11861.wav,,1,-1
11862.wav,,1,60
11863.wav,,1,-1
11864.wav,,1,53
11865.wav,,1,59
11867.wav,,1,-1
11869.wav,,1,-1
11870.wav,,1,59
11872.wav,,1,46
11880.wav,,1,32
11881.wav,,1,-1
11882.wav,,1,-1
11883.wav,,1,24
11884.wav,,1,-1
11885.wav,,1,24
11887.wav,,1,-1
11889.wav,,1,24
11890.wav,,1,-1
11891.wav,,1,24
11892.wav,,1,24
11893.wav,,1,-1
11896.wav,,1,-1
11897.wav,,1,-1
11898.wav,,1,57
11899.wav,,1,57
11900.wav,N1,1,60
11901.wav,,1,-1
11902.wav,,1,-1
11903.wav,,1,53
11904.wav,,1,59
11905.wav,,1,50
11906.wav,,1,-1
11907.wav,,1,48
11908.wav,,1,53
11909.wav,,1,29
11910.wav,,1,51
11911.wav,,1,51
11917.wav,,1,52
11919.wav,,1,-1
11920.wav,,1,-1
11921.wav,,1,52
11922.wav,,1,-1
11923.wav,,1,47
11924.wav,,1,47
11925.wav,,1,-1
11926.wav,,1,-1
11927.wav,,1,47
11928.wav,,1,-1
11934.wav,,1,-1
11936.wav,,1,-1
11937.wav,,1,-1
11939.wav,,1,60
11940.wav,,1,-1
11942.wav,,1,-1
11943.wav,,1,60
11944.wav,,1,-1
11945.wav,,1,59
11946.wav,,1,-1
11947.wav,,1,-1
11948.wav,,1,-1
11949.wav,,1,48
11950.wav,,1,48
11951.wav,,1,59
11952.wav,,1,-1
11953.wav,,1,-1
11954.wav,,1,58
11959.wav,,1,59
11960.wav,,1,59
11965.wav,,1,58
11966.wav,,1,57
11967.wav,,1,53
11968.wav,,1,53
11969.wav,,1,-1
11971.wav,,1,57
11972.wav,,1,48
11973.wav,,1,-1
11974.wav,,1,-1
11976.wav,,1,-1
11977.wav,,1,-1
11978.wav,,1,-1
11979.wav,,1,-1
11980.wav,,1,-1
11981.wav,,1,-1
11986.wav,,1,59
11987.wav,,1,59
11988.wav,,1,47
11990.wav,,1,-1
11991.wav,,1,-1
11993.wav,,1,-1
11996.wav,,1,-1
11997.wav,,1,-1
11999.wav,,1,-1
12001.wav,,1,-1
12002.wav,,1,-1
12003.wav,,1,28
12004.wav,,1,28
12005.wav,,1,-1
12008.wav,,1,-1
12009.wav,,1,-1
12010.wav,,1,-1
12011.wav,,1,59
12013.wav,,1,60
12014.wav,,1,-1
12015.wav,,1,-1
12016.wav,,1,48
12019.wav,,1,-1
12020.wav,,1,49
12021.wav,,1,48
12022.wav,,1,-1
12023.wav,,1,49
12024.wav,,1,-1
12025.wav,,1,-1
12026.wav,,1,-1
12027.wav,,1,-1
12028.wav,,1,-1
12029.wav,,1,-1
12030.wav,N1,1,60
12031.wav,,1,-1
12032.wav,,1,-1
12035.wav,,1,-1
12038.wav,,1,48
12040.wav,,1,56
12041.wav,,1,-1
12042.wav,,1,-1
12044.wav,,1,-1
12045.wav,,1,57
12047.wav,,1,-1
12048.wav,,1,59
12051.wav,,1,-1
12054.wav,,1,-1
12055.wav,,1,43
12056.wav,,1,-1
12057.wav,,1,-1
12058.wav,N23,1,47
12059.wav,,1,-1
12060.wav,,1,47
12062.wav,,1,47
12064.wav,,1,-1
12066.wav,,1,-1
12068.wav,,1,-1
12071.wav,,1,43
12072.wav,,1,59
12073.wav,,1,59
12074.wav,,1,-1
12075.wav,,1,-1
12076.wav,,1,60
12078.wav,,1,-1
12084.wav,,1,-1
12088.wav,,1,60
12089.wav,,1,-1
12090.wav,,1,58
12091.wav,,1,-1
12093.wav,,1,59
12094.wav,,1,-1
12095.wav,,1,-1
12096.wav,,1,-1
12097.wav,,1,-1
12098.wav,,1,-1
12100.wav,,1,-1
12101.wav,,1,-1
12102.wav,,1,-1
12103.wav,,1,-1
12105.wav,,1,46
12106.wav,,1,-1
12107.wav,,1,56
12108.wav,,1,46
12109.wav,,1,57
12110.wav,,1,-1
12111.wav,,1,34
12112.wav,,1,34
12113.wav,,1,34
12114.wav,,1,-1
12115.wav,,1,-1
12116.wav,,1,34
12117.wav,,1,-1
12118.wav,,1,-1
12119.wav,,1,-1
12121.wav,,1,-1
12122.wav,,1,-1
12124.wav,,1,-1
12125.wav,,1,-1
12126.wav,,1,-1
12128.wav,,1,-1
12129.wav,,1,53
12130.wav,,1,-1
12131.wav,,1,40
12132.wav,,1,48
12135.wav,,1,-1
12136.wav,,1,-1
12137.wav,,1,-1
12138.wav,,1,-1
12139.wav,,1,-1
12142.wav,,1,-1
12143.wav,,1,-1
12144.wav,,1,59
12145.wav,,1,-1
12146.wav,,1,-1
12147.wav,,1,24
12148.wav,,1,-1
12149.wav,,1,-1
12151.wav,,1,-1
12152.wav,,1,24
12153.wav,,1,-1
12155.wav,,1,-1
12156.wav,,1,-1
12160.wav,,1,17
12161.wav,,1,-1
12162.wav,,1,27
12163.wav,,1,-1
12164.wav,,1,-1
12165.wav,,1,-1
12166.wav,,1,-1
12167.wav,,1,-1
12168.wav,,1,-1
12169.wav,,1,-1
12170.wav,,1,40
12171.wav,,1,40
12172.wav,,1,-1
12174.wav,,1,48
12175.wav,,1,-1
12177.wav,,1,-1
12181.wav,,1,-1
12184.wav,,1,46
12185.wav,,1,-1
12189.wav,,1,59
12190.wav,,1,48
12193.wav,,1,-1
12195.wav,,1,60
12197.wav,,1,59
12198.wav,,1,59
12203.wav,,1,-1
12205.wav,,1,-1
12208.wav,,1,-1
12211.wav,,1,59
12213.wav,,1,-1
12214.wav,,1,-1
12215.wav,,1,-1
12216.wav,,1,-1
12218.wav,,1,-1
12220.wav,,1,-1
12223.wav,,1,17
12224.wav,,1,17
12226.wav,,1,-1
12227.wav,N1,1,-1
12228.wav,,1,31
12229.wav,N23,1,-1
12230.wav,,1,-1
12231.wav,,1,32
12232.wav,,1,31
12234.wav,,1,-1
12235.wav,,1,-1
12236.wav,,1,24
12237.wav,,1,-1
12238.wav,,1,32
12239.wav,,1,-1
12240.wav,,1,-1
12241.wav,,1,28
12242.wav,,1,59
12243.wav,,1,-1
12244.wav,,1,60
12245.wav,,1,-1
12246.wav,,1,60
12247.wav,,1,-1
12248.wav,,1,-1
12249.wav,,1,29
12250.wav,,1,18
12251.wav,,1,32
12252.wav,,1,-1
12253.wav,,1,31
12255.wav,,1,-1
12257.wav,,1,-1
12258.wav,,1,-1
12259.wav,,1,-1
12263.wav,,1,46
12264.wav,,1,-1
12265.wav,,1,57
12267.wav,,1,-1
12269.wav,,1,34
12270.wav,,1,-1
12271.wav,,1,-1
12272.wav,,1,-1
12273.wav,,1,-1
12275.wav,,1,-1
12276.wav,,1,-1
12278.wav,,1,45
12279.wav,,1,45
12280.wav,,1,45
12281.wav,,1,38
12282.wav,,1,-1
12283.wav,,1,-1
12284.wav,,1,-1
12285.wav,,1,53
12286.wav,,1,-1
12287.wav,,1,-1
12288.wav,,1,24
12289.wav,,1,24
12290.wav,,1,-1
12291.wav,,1,-1
12292.wav,,1,-1
12294.wav,,1,24
12296.wav,,1,-1
12297.wav,,1,24
12298.wav,,1,32
12300.wav,,1,-1
12301.wav,,1,-1
12302.wav,,1,24
12304.wav,,1,-1
12305.wav,,1,-1
12306.wav,,1,32
12308.wav,,1,53
12310.wav,,1,-1
12311.wav,,1,-1
12312.wav,,1,58
12313.wav,,1,-1
12315.wav,,1,60
12316.wav,,1,48
12317.wav,,1,-1
12318.wav,,1,-1
12320.wav,,1,59
12322.wav,,1,-1
12323.wav,,1,59
12325.wav,,1,-1
12326.wav,,1,59
12327.wav,,1,-1
12328.wav,,1,59
12329.wav,,1,-1
12331.wav,,1,-1
12332.wav,,1,58
12333.wav,,1,-1
12334.wav,,1,51
12335.wav,,1,59
12336.wav,,1,-1
12337.wav,,1,59
12338.wav,,1,56
12339.wav,,1,60
12340.wav,,1,-1
12341.wav,,1,59
12342.wav,,1,40
12343.wav,,1,-1
12344.wav,,1,-1
12345.wav,,1,-1
12347.wav,,1,51
12348.wav,,1,53
12349.wav,,1,48
12351.wav,,1,-1
12352.wav,,1,-1
12354.wav,,1,-1
12358.wav,,1,-1
12359.wav,,1,59
12361.wav,,1,-1
12362.wav,N1,1,-1
12363.wav,,1,-1
12364.wav,,1,-1
12366.wav,N1,1,-1
12367.wav,,1,-1
12368.wav,,1,60
12369.wav,,1,-1
12370.wav,,1,-1
12371.wav,,1,52
12372.wav,,1,-1
12374.wav,,1,52
12375.wav,,1,-1
12376.wav,,1,-1
12378.wav,,1,29
12379.wav,,1,52
12380.wav,,1,-1
12381.wav,,1,-1
12383.wav,,1,58
12388.wav,,1,58
12392.wav,,1,-1
12394.wav,,1,-1
12395.wav,,1,17
12396.wav,,1,18
12397.wav,,1,-1
12398.wav,,1,31
12399.wav,,1,24
12400.wav,,1,24
12402.wav,,1,24
12404.wav,,1,24
12406.wav,,1,24
12407.wav,,1,32
12410.wav,,1,-1
12413.wav,,1,-1
12415.wav,,1,-1
12416.wav,,1,34
12417.wav,,1,-1
12418.wav,,1,-1
12419.wav,,1,-1
12420.wav,,1,-1
12421.wav,,1,-1
12422.wav,,1,-1
12425.wav,,1,-1
12427.wav,,1,-1
12428.wav,,1,-1
12430.wav,,1,-1
12436.wav,,1,59
12437.wav,,1,58
12438.wav,,1,-1
12439.wav,,1,-1
12440.wav,,1,-1
12441.wav,,1,-1
12443.wav,,1,57
12447.wav,,1,56
12448.wav,,1,40
12449.wav,,1,56
12454.wav,,1,59
12455.wav,,1,57
12457.wav,,1,-1
12458.wav,,1,-1
12460.wav,,1,-1
12461.wav,,1,-1
12462.wav,,1,51
12463.wav,,1,59
12464.wav,,1,-1
12465.wav,,1,-1
12466.wav,,1,-1
12467.wav,,1,-1
12468.wav,,1,-1
12470.wav,,1,-1
12471.wav,,1,-1
12472.wav,,1,51
12475.wav,,1,51
12476.wav,,1,60
12478.wav,,1,48
12479.wav,,1,-1
12480.wav,,1,-1
12481.wav,,1,-1
12482.wav,,1,-1
12483.wav,,1,60
12484.wav,,1,-1
12485.wav,,1,49
12486.wav,,1,46
12489.wav,,1,43
12490.wav,,1,-1
12491.wav,,1,-1
12493.wav,,1,-1
12495.wav,,1,-1
12496.wav,,1,40
12498.wav,,1,-1
12499.wav,,1,-1
12500.wav,,1,-1
12501.wav,,1,-1
12502.wav,,1,-1
12503.wav,,1,53
12504.wav,,1,-1
12506.wav,,1,60
12509.wav,,1,59
12510.wav,,1,59
12511.wav,,1,-1
12513.wav,,1,-1
12514.wav,,1,-1
12516.wav,,1,50
12517.wav,,1,-1
12518.wav,,1,-1
12519.wav,N1,1,-1
12520.wav,,1,48
12521.wav,,1,-1
12522.wav,,1,-1
12524.wav,,1,-1
12525.wav,,1,-1
12526.wav,,1,59
12527.wav,,1,50
12528.wav,,1,50
12529.wav,,1,-1
12530.wav,,1,-1
12532.wav,,1,59
12533.wav,,1,-1
12535.wav,,1,-1
12536.wav,,1,-1
12539.wav,,1,31
12540.wav,,1,24
12541.wav,,1,-1
12542.wav,,1,31
12543.wav,,1,27
12545.wav,,1,-1
12548.wav,N23,1,-1
12549.wav,,1,-1
12551.wav,N23,1,-1
12552.wav,,1,56
12554.wav,,1,-1
12555.wav,,1,-1
12556.wav,,1,46
12557.wav,,1,56
12558.wav,,1,-1
12559.wav,,1,-1
12560.wav,,1,-1
12561.wav,,1,40
12562.wav,,1,46
12563.wav,,1,-1
12564.wav,,1,-1
12565.wav,,1,53
12566.wav,,1,-1
12567.wav,,1,60
12568.wav,,1,-1
12569.wav,,1,-1
12570.wav,,1,-1
12571.wav,,1,-1
12572.wav,,1,-1
12574.wav,,1,51
12577.wav,,1,59
12579.wav,,1,-1
12580.wav,,1,-1
12582.wav,,1,59
12586.wav,,1,59
12587.wav,,1,59
12589.wav,,1,-1
12595.wav,,1,-1
12598.wav,,1,-1
12600.wav,,1,-1
12602.wav,,1,-1
12603.wav,,1,-1
12606.wav,,1,53
12607.wav,,1,-1
12608.wav,,1,48
12609.wav,N1,1,-1
12611.wav,,1,-1
12613.wav,,1,-1
12615.wav,,1,59
12616.wav,,1,-1
12617.wav,,1,-1
12618.wav,,1,60
12619.wav,,1,-1
12622.wav,,1,60
12623.wav,,1,48
12624.wav,,1,-1
12625.wav,,1,-1
12626.wav,,1,-1
12627.wav,,1,-1
12628.wav,,1,-1
12629.wav,,1,-1
12630.wav,,1,-1
12631.wav,,1,38
12632.wav,,1,-1
12634.wav,,1,-1
12636.wav,,1,51
12639.wav,,1,-1
12640.wav,,1,-1
12641.wav,,1,60
12642.wav,,1,59
12645.wav,,1,-1
12646.wav,,1,-1
12647.wav,,1,-1
12648.wav,,1,59
12649.wav,,1,59
12650.wav,,1,-1
12651.wav,,1,-1
12652.wav,,1,-1
12653.wav,,1,59
12654.wav,,1,-1
12655.wav,,1,-1
12656.wav,,1,58
12657.wav,,1,59
12658.wav,,1,-1
12659.wav,,1,-1
12660.wav,,1,58
12661.wav,,1,-1
12663.wav,,1,-1
12667.wav,,1,-1
12668.wav,,1,-1
12669.wav,,1,-1
12671.wav,,1,-1
12673.wav,,1,-1
12674.wav,,1,54
12675.wav,,1,48
12676.wav,,1,48
12677.wav,,1,-1
12678.wav,,1,-1
12679.wav,,1,-1
12680.wav,,1,-1
12681.wav,,1,53
12683.wav,,1,48
12684.wav,,1,60
12685.wav,,1,-1
12687.wav,,1,-1
12692.wav,,1,46
12694.wav,,1,-1
12696.wav,,1,-1
12697.wav,,1,51
12698.wav,,1,-1
12699.wav,,1,-1
12700.wav,,1,40
12701.wav,,1,59
12702.wav,,1,-1
12706.wav,,1,58
12707.wav,,1,50
12708.wav,,1,-1
12709.wav,,1,59
12710.wav,,1,59
12711.wav,,1,-1
12712.wav,,1,58
12713.wav,,1,-1
12714.wav,,1,-1
12715.wav,,1,59
12716.wav,,1,60
12717.wav,,1,-1
12718.wav,,1,-1
12719.wav,,1,50
12720.wav,,1,-1
12721.wav,,1,59
12722.wav,,1,-1
12724.wav,,1,-1
12725.wav,,1,-1
12726.wav,,1,-1
12727.wav,,1,48
12728.wav,,1,-1
12729.wav,,1,46
12732.wav,,1,40
12733.wav,,1,-1
12734.wav,,1,-1
12735.wav,,1,-1
12736.wav,,1,53
12739.wav,,1,-1
12740.wav,,1,-1
12741.wav,,1,-1
12742.wav,,1,-1
12743.wav,,1,-1
12744.wav,,1,-1
12745.wav,,1,-1
12746.wav,,1,-1
12748.wav,,1,51
12749.wav,,1,48
12750.wav,,1,-1
12751.wav,,1,-1
12752.wav,,1,-1
12754.wav,,1,-1
12755.wav,,1,-1
12756.wav,,1,48
12757.wav,,1,-1
12759.wav,,1,-1
12763.wav,,1,59
12765.wav,,1,-1
12772.wav,,1,-1
12773.wav,,1,-1
12774.wav,,1,50
12775.wav,,1,58
12776.wav,,1,-1
12777.wav,,1,-1
12779.wav,,1,59
12780.wav,,1,59
12781.wav,,1,58
12782.wav,,1,-1
12783.wav,,1,-1
12784.wav,,1,-1
12785.wav,,1,-1
12786.wav,,1,59
12787.wav,,1,-1
12789.wav,,1,-1
12791.wav,,1,-1
12792.wav,,1,-1
12793.wav,,1,-1
12795.wav,,1,-1
12797.wav,,1,-1
12800.wav,,1,51
12801.wav,,1,46
12802.wav,,1,58
12803.wav,,1,57
12804.wav,,1,44
12805.wav,,1,-1
12806.wav,,1,-1
12807.wav,,1,31
12808.wav,,1,-1
12810.wav,,1,-1
12811.wav,,1,-1
12812.wav,,1,24
12813.wav,,1,24
12814.wav,,1,17
12815.wav,,1,-1
12816.wav,,1,17
12817.wav,,1,59
12818.wav,,1,-1
12819.wav,,1,60
12820.wav,,1,-1
12822.wav,,1,-1
12824.wav,,1,-1
12825.wav,,1,-1
12828.wav,,1,-1
12830.wav,,1,-1
12831.wav,,1,-1
12832.wav,,1,-1
12833.wav,,1,48
12834.wav,,1,40
12835.wav,,1,-1
12836.wav,,1,-1
12837.wav,,1,40
12838.wav,,1,-1
12839.wav,,1,58
12840.wav,,1,60
12841.wav,,1,-1
12842.wav,,1,-1
12843.wav,,1,-1
12844.wav,,1,59
12845.wav,,1,-1
12846.wav,,1,59
12847.wav,,1,-1
12848.wav,,1,-1
12849.wav,,1,-1
12851.wav,,1,59
12852.wav,,1,-1
12853.wav,,1,-1
12854.wav,,1,-1
12855.wav,,1,56
12856.wav,,1,59
12857.wav,,1,-1
12860.wav,,1,-1
12862.wav,,1,47
12863.wav,,1,47
12864.wav,,1,-1
12865.wav,,1,-1
12866.wav,,1,-1
12867.wav,,1,53
12868.wav,,1,-1
12870.wav,,1,59
12873.wav,,1,-1
12874.wav,,1,56
12876.wav,,1,-1
12878.wav,,1,-1
12879.wav,,1,59
12880.wav,,1,34
12882.wav,,1,-1
12883.wav,,1,-1
12884.wav,,1,-1
12885.wav,,1,-1
12886.wav,,1,-1
12888.wav,,1,-1
12890.wav,,1,-1
12892.wav,,1,-1
12893.wav,,1,-1
12894.wav,,1,-1
12895.wav,,1,59
12897.wav,,1,-1
12898.wav,,1,-1
12899.wav,,1,-1
12901.wav,,1,59
12902.wav,,1,-1
12903.wav,,1,58
12904.wav,,1,59
12905.wav,,1,59
12908.wav,,1,-1
12909.wav,,1,-1
12911.wav,,1,-1
12912.wav,,1,60
12915.wav,,1,-1
12916.wav,,1,59
12917.wav,,1,-1
12921.wav,,1,-1
12922.wav,,1,-1
12924.wav,,1,-1
12925.wav,,1,59
12926.wav,,1,48
12929.wav,,1,48
12930.wav,,1,48
12931.wav,,1,56
12932.wav,,1,-1
12937.wav,,1,-1
12939.wav,,1,48
12940.wav,,1,54
12941.wav,,1,-1
12942.wav,N23,1,-1
12944.wav,,1,59
12945.wav,,1,-1
12946.wav,,1,-1
12947.wav,,1,59
12948.wav,,1,-1
12950.wav,,1,-1
12951.wav,,1,56
12952.wav,,1,-1
12953.wav,,1,-1
12955.wav,,1,40
12956.wav,,1,-1
12957.wav,,1,-1
12958.wav,,1,58
12959.wav,,1,-1
12960.wav,,1,-1
12961.wav,,1,-1
12962.wav,,1,58
12963.wav,,1,59
12964.wav,,1,-1
12965.wav,,1,-1
12966.wav,,1,-1
12967.wav,,1,-1
12971.wav,,1,-1
12973.wav,,1,40
12974.wav,,1,-1
12976.wav,,1,58
12977.wav,,1,-1
12978.wav,,1,-1
12979.wav,,1,-1
12981.wav,,1,49
12982.wav,,1,-1
12983.wav,,1,-1
12984.wav,,1,-1
12985.wav,,1,59
12987.wav,,1,-1
12988.wav,,1,-1
12990.wav,,1,-1
12993.wav,,1,59
12994.wav,,1,60
12995.wav,,1,50
12996.wav,,1,-1
12997.wav,,1,59
12998.wav,,1,50
12999.wav,,1,-1
13001.wav,,1,60
13002.wav,,1,-1
13003.wav,,1,59
13005.wav,,1,50
13006.wav,,1,-1
13007.wav,,1,-1
13008.wav,,1,-1
13009.wav,,1,46
13011.wav,,1,46
13012.wav,,1,46
13014.wav,,1,46
13016.wav,,1,-1
13017.wav,,1,-1
13020.wav,,1,46
13021.wav,,1,-1
13022.wav,,1,48
13027.wav,,1,-1
13028.wav,,1,-1
13029.wav,,1,-1
13030.wav,,1,40
13031.wav,,1,-1
13032.wav,,1,-1
13033.wav,,1,-1
13034.wav,,1,45
13035.wav,,1,-1
13036.wav,,1,38
13039.wav,,1,-1
13040.wav,,1,-1
13043.wav,,1,38
13044.wav,,1,-1
13045.wav,,1,-1
13047.wav,,1,-1
13048.wav,,1,51
13049.wav,,1,58
13050.wav,,1,-1
13052.wav,,1,59
13053.wav,,1,-1
13054.wav,,1,59
13060.wav,,1,46
13061.wav,,1,-1
13064.wav,,1,46
13065.wav,,1,-1
13066.wav,,1,48
13069.wav,,1,-1
13071.wav,,1,0
13075.wav,,1,-1
13078.wav,,1,-1
13080.wav,,1,-1
13081.wav,,1,-1
13082.wav,,1,-1
13085.wav,,1,56
13086.wav,,1,-1
13088.wav,,1,-1
13091.wav,,1,56
13092.wav,,1,-1
13093.wav,,1,-1
13096.wav,,1,-1
13097.wav,,1,56
13098.wav,,1,56
13100.wav,,1,56
13101.wav,,1,56
13102.wav,,1,48
13104.wav,,1,52
13105.wav,,1,48
13107.wav,,1,-1
13108.wav,,1,-1
13109.wav,,1,-1
13110.wav,,1,52
13111.wav,,1,52
13112.wav,,1,40
13114.wav,,1,-1
13115.wav,,1,48
13117.wav,,1,48
13119.wav,,1,40
13120.wav,,1,-1
13121.wav,,1,52
13122.wav,,1,47
13123.wav,,1,-1
13124.wav,,1,-1
13128.wav,,1,48
13129.wav,,1,-1
13130.wav,,1,52
13131.wav,,1,48
13132.wav,,1,-1
13133.wav,,1,31
13134.wav,,1,32
13136.wav,,1,-1
13138.wav,,1,-1
13140.wav,,1,-1
13141.wav,,1,31
13142.wav,,1,-1
13143.wav,,1,24
13144.wav,,1,18
13145.wav,,1,31
13146.wav,,1,-1
13147.wav,,1,-1
13148.wav,,1,31
13149.wav,,1,-1
13151.wav,,1,-1
13152.wav,,1,-1
13155.wav,,1,-1
13156.wav,,1,-1
13159.wav,,1,-1
13160.wav,,1,59
13162.wav,,1,-1
13163.wav,,1,-1
13164.wav,,1,-1
13165.wav,,1,-1
13166.wav,,1,57
13167.wav,,1,-1
13168.wav,,1,59
13169.wav,,1,-1
13171.wav,,1,50
13172.wav,,1,-1
13173.wav,,1,-1
13174.wav,,1,-1
13177.wav,,1,40
13178.wav,,1,-1
13179.wav,,1,48
13180.wav,,1,59
13181.wav,,1,-1
13182.wav,,1,59
13184.wav,,1,40
13185.wav,,1,-1
13186.wav,,1,48
13187.wav,,1,46
13188.wav,,1,-1
13189.wav,,1,-1
13191.wav,,1,-1
13196.wav,,1,-1
13197.wav,,1,-1
13198.wav,,1,-1
13200.wav,,1,-1
13201.wav,,1,46
13202.wav,,1,-1
13204.wav,,1,-1
13205.wav,,1,-1
13206.wav,,1,-1
13208.wav,,1,57
13209.wav,,1,-1
13210.wav,,1,56
13211.wav,,1,-1
13212.wav,,1,-1
13214.wav,,1,-1
13215.wav,,1,-1
13216.wav,,1,-1
13217.wav,,1,48
13218.wav,,1,48
13219.wav,,1,48
13225.wav,,1,-1
13227.wav,,1,48
13230.wav,,1,48
13233.wav,,1,-1
13234.wav,,1,-1
13235.wav,,1,-1
13238.wav,N1,1,-1
13240.wav,N1,1,-1
13242.wav,,1,-1
13243.wav,,1,46
13244.wav,,1,-1
13245.wav,,1,-1
13247.wav,,1,-1
13248.wav,,1,57
13249.wav,,1,-1
13251.wav,,1,-1
13252.wav,,1,-1
13253.wav,,1,56
13254.wav,,1,48
13255.wav,,1,-1
13256.wav,,1,-1
13257.wav,,1,31
13258.wav,,1,31
13260.wav,,1,31
13261.wav,,1,31
13262.wav,,1,24
13263.wav,,1,24
13264.wav,,1,24
13266.wav,,1,-1
13268.wav,,1,-1
13269.wav,,1,48
13270.wav,,1,-1
13271.wav,,1,-1
13276.wav,,1,-1
13280.wav,,1,-1
13282.wav,,1,54
